"TIMESTAMP","RECORD","BattV_Min","PTemp","Baudrate","Instantanous_velocity","Average_velocity","velocity_unit","Tilt_angle_value","Flow_Direction","SNR_Instantenous","SNR_Average"
"2024-09-12 13:00:00",0,12.57,18.05,1,927,943,1,43,1,7387,7310
"2024-09-12 14:00:00",1,12.43,20.35,1,956,995,1,44,1,7317,7235
"2024-09-12 15:00:00",2,12.42,22.81,1,956,956,1,44,1,7273,7280
"2024-09-12 16:00:00",3,12.43,17.21,1,939,953,1,44,1,7462,7435
"2024-09-12 17:00:00",4,12.43,19,1,903,884,1,43,1,7314,7398
"2024-09-12 18:00:00",5,12.49,18.56,1,921,959,1,44,1,7256,7294
"2024-09-12 19:00:00",6,12.5,16.38,1,953,960,1,44,1,7307,7390
"2024-09-12 20:00:00",7,12.55,12.62,1,944,970,1,43,1,7405,7398
"2024-09-12 21:00:00",8,12.57,9.28,1,958,972,1,44,1,7358,7359
"2024-09-12 22:00:00",9,12.54,8.44,1,944,948,1,44,1,7441,7381
"2024-09-12 23:00:00",10,12.58,7.431,1,927,924,1,44,1,7417,7362
"2024-09-13 00:00:00",11,12.59,6.675,1,946,948,1,43,1,7424,7396
"2024-09-13 01:00:00",12,12.59,5.889,1,912,921,1,43,1,7336,7339
"2024-09-13 02:00:00",13,12.63,5.334,1,912,917,1,43,1,7417,7396
"2024-09-13 03:00:00",14,12.63,5.314,1,890,900,1,43,1,7336,7402
"2024-09-13 04:00:00",15,12.63,7.285,1,849,890,1,43,1,7314,7302
"2024-09-13 05:00:00",16,12.6,7.96,1,887,889,1,44,1,7325,7326
"2024-09-13 06:00:00",17,12.58,7.599,1,892,900,1,44,1,7346,7298
"2024-09-13 07:00:00",18,12.58,7.661,1,840,856,1,43,1,7472,7501
"2024-09-13 08:00:00",19,12.67,7.632,1,918,898,1,44,1,7363,7430
"2024-09-13 09:00:00",20,12.7,7.412,1,908,917,1,44,1,7379,7324
"2024-09-13 10:00:00",21,12.59,11.13,1,891,892,1,44,1,7272,7235
"2024-09-13 11:00:00",22,12.51,16.16,1,877,888,1,44,1,7423,7383
"2024-09-13 12:00:00",23,12.51,19.79,1,864,875,1,43,1,7294,7309
"2024-09-13 13:00:00",24,12.43,22.32,1,856,905,1,43,1,7171,7174
"2024-09-13 14:00:00",25,12.44,24.19,1,882,894,1,43,1,7265,7133
"2024-09-13 15:00:00",26,12.42,24.89,1,814,805,1,43,1,6992,7042
"2024-09-13 16:00:00",27,12.42,25.41,1,923,906,1,44,1,7123,7038
"2024-09-13 17:00:00",28,12.42,23.12,1,952,965,1,43,1,7238,7244
"2024-09-13 18:00:00",29,12.49,22.3,1,937,923,1,44,1,7270,7259
"2024-09-13 19:00:00",30,12.54,18.37,1,977,970,1,43,1,7278,7343
"2024-09-13 20:00:00",31,12.77,12.63,1,981,974,1,44,1,7292,7360
"2024-09-13 21:00:00",32,12.76,10.01,1,941,941,1,43,1,7452,7370
"2024-09-13 22:00:00",33,12.77,12.25,1,931,933,1,43,1,7364,7300
"2024-09-13 23:00:00",34,12.76,13.1,1,891,903,1,43,1,7508,7407
"2024-09-14 00:00:00",35,12.78,12.32,1,895,898,1,43,1,7330,7334
"2024-09-14 01:00:00",36,12.77,11.76,1,868,876,1,43,1,7580,7473
"2024-09-14 02:00:00",37,12.81,11.05,1,882,888,1,43,1,7550,7443
"2024-09-14 03:00:00",38,12.82,10.39,1,891,897,1,44,1,7358,7329
"2024-09-14 04:00:00",39,12.81,9.89,1,845,847,1,43,1,7339,7360
"2024-09-14 05:00:00",40,12.82,9.55,1,867,865,1,43,1,7363,7471
"2024-09-14 06:00:00",41,12.83,9.29,1,886,866,1,43,1,7509,7445
"2024-09-14 07:00:00",42,12.84,9.01,1,847,854,1,43,1,7526,7554
"2024-09-14 08:00:00",43,12.92,8.8,1,875,865,1,43,1,7423,7470
"2024-09-14 09:00:00",44,12.93,9.19,1,885,891,1,44,1,7327,7361
"2024-09-14 10:00:00",45,12.8,13.09,1,833,862,1,43,1,7209,7244
"2024-09-14 11:00:00",46,12.74,17.77,1,901,911,1,44,1,7340,7235
"2024-09-14 12:00:00",47,12.69,21.54,1,900,894,1,44,1,7377,7222
"2024-09-14 13:00:00",48,12.65,24.6,1,911,897,1,44,1,7192,7214
"2024-09-14 14:00:00",49,12.64,27.64,1,944,953,1,44,1,7201,7192
"2024-09-14 15:00:00",50,12.62,29.55,1,925,938,1,44,1,7259,7289
"2024-09-14 16:00:00",51,12.62,30.08,1,928,939,1,44,1,7317,7279
"2024-09-14 17:00:00",52,12.65,27.53,1,901,943,1,43,1,7015,7063
"2024-09-14 18:00:00",53,12.69,26.51,1,963,967,1,43,1,7331,7277
"2024-09-14 19:00:00",54,12.72,21.78,1,937,948,1,44,1,7423,7325
"2024-09-14 20:00:00",55,12.75,16.09,1,931,928,1,43,1,7323,7362
"2024-09-14 21:00:00",56,12.7,17.16,1,936,941,1,43,1,7333,7173
"2024-09-14 22:00:00",57,12.71,18.39,1,896,895,1,43,1,7370,7356
"2024-09-14 23:00:00",58,12.7,17.69,1,948,921,1,43,1,7333,7302
"2024-09-15 00:00:00",59,12.73,16.64,1,877,880,1,43,1,7358,7397
"2024-09-15 01:00:00",60,12.73,15.78,1,880,875,1,44,1,7402,7332
"2024-09-15 02:00:00",61,12.74,15.61,1,897,896,1,44,1,7334,7290
"2024-09-15 03:00:00",62,12.74,15.56,1,867,862,1,43,1,7252,7314
"2024-09-15 04:00:00",63,12.73,15.6,1,854,865,1,43,1,7373,7385
"2024-09-15 05:00:00",64,12.74,14.73,1,857,869,1,43,1,7264,7311
"2024-09-15 06:00:00",65,12.75,14.65,1,845,832,1,43,1,7408,7462
"2024-09-15 07:00:00",66,12.76,14.49,1,885,879,1,43,1,7383,7300
"2024-09-15 08:00:00",67,12.82,14.33,1,941,908,1,43,1,7363,7303
